date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2020-06-11 22:00:10 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 6700090263e9493e95aaa1ab821c6fd3 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 72002
2020-06-11 22:00:10 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 dcde241540764bc99a8f039beeba6a8b 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 72034
2020-06-11 22:00:10 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 1a1f2beb053d41b2bec9f2a31c90ca22 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 85050
2020-06-11 22:00:10 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 e3b73f3162554ba19cc990d566ea5bce 10.211.112.103 - - 200 0 0 68752
2020-06-11 22:00:11 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 d7da9829e3934502a8092538f8316a03 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 71440
2020-06-11 22:00:11 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 917cb184f7c14c1ea69b2d327c46def4 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 71159
2020-06-11 22:00:11 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 18ab3b97dc244cb4bc00cb486b71e7cb 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 71862
2020-06-11 22:00:11 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 dfa41721985e4d2c85f235795f159828 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 73565
2020-06-11 22:00:11 10.211.123.224 GET /services/printing/Cart - 80 7135e1ce40334e5a8ec7a52b94576be4 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 93441
2020-06-11 22:00:11 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 3e47e83391f340ae9e725d25ed679e3b 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 112770
2020-06-11 22:00:12 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 de9b7d98af9b47378aec0256731aa889 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 87269
2020-06-11 22:00:15 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 81b31347d8d047e7b820b2fedf985d34 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 98691
2020-06-11 22:00:16 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 1bb56777b0474cdfa1004047901771fb 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 93722
2020-06-11 22:00:16 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 5bb4b922fa7240e58781cd1caa8a0c39 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 78956
2020-06-11 22:00:16 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 431989c85d484ec6925d821e5f30ce9d 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 77393
2020-06-11 22:00:16 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 644c514f3ae0471ca5453943127cdfc6 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 80237
2020-06-11 22:00:19 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 ed4b688635a846cfb837d51dcf34cb69 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 93925
2020-06-11 22:00:19 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 4274896492d24790915a235a9a5103a2 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 96425
2020-06-11 22:00:20 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 cd637b24e5c14d77ad0f0935bd4756e0 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 100441
2020-06-11 22:00:20 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 690828c17ad7458a8ed23529a30fa98e 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 95769
2020-06-11 22:00:20 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 9f3b137879e84bac9dc1413e6cff723b 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 97910
2020-06-11 22:00:20 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 40923034fd2040a3ad2ef1451bc4a119 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 96394
2020-06-11 22:00:21 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 72f919eedf9e4093a5418dd8f2e5b8b5 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 99066
2020-06-11 22:00:21 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 e30f0ab4e8d540b7beef67ac6016e742 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 84128
